200822164 00013F82: 4A38  TST.B (8CE)                    D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00013F82 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D3E
200822165 00013F86: 6700  BEQ 140DE                      D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00013F82 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D3E
200822166 000140DE: 2078  MOVEA.L (D6A), A0              D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00013F82 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D3E
200822167 000140E2: 30BC  MOVE.W #1, (A0)                D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=000034E8 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D3E
200822168 000140E6: 4268  CLR.W 12(A0)                   D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=000034E8 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D3E
200822169 000140EA: 4E75  RTS                            D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=000034E8 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D3E
200822170 0000D11A: 225F  MOVEA.L (A7)+, A1              D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=000034E8 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D42
200822171 0000D11C: 41E9  LEA 2(A1), A0                  D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=000034E8 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822172 0000D120: 2010  MOVE.L (A0), D0                D=00013F82 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00005F08 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822173 0000D122: 6724  BEQ D148                       D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00005F08 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822174 0000D148: 0891  BCLR #6, (A1)                  D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00005F08 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822175 0000D14C: 4E75  RTS                            D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00005F08 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822176 000033C0: 205F  MOVEA.L (A7)+, A0              D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00005F08 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D4A
200822177 000033C2: 7001  MOVEQ #1, D0                   D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D4E
200822178 000033C4: 4E75  RTS                            D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D4E
200822179 0000D030: 225F  MOVEA.L (A7)+, A1              D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00005F06 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D52
200822180 0000D032: 4A40  TST.W D0                       D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00003234 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D56
200822181 0000D034: 67E8  BEQ D01E                       D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00003234 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D56
200822182 0000D036: 7000  MOVEQ #0, D0                   D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00003234 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D56
200822183 0000D038: 4E75  RTS                            D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00003234 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D56
200822184 0000D000: 6612  BNE D014                       D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00003234 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5A
200822185 0000D002: 1017  MOVE.B (A7), D0                D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00003234 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5A
200822186 0000D004: 66F0  BNE CFF6                       D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00003234 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5A
200822187 0000D006: 588F  ADDQA #4, A7                   D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00003234 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5A
200822188 0000D008: 227C  MOVEA.L #50F02000, A1          D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 00003234 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5E
200822189 0000D00E: 2078  MOVEA.L (D74), A0              D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5E
200822190 0000D012: 4ED0  JMP (A0)                       D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5E
200822191 0000CFE0: 137C  MOVE.B #2, 1A00(A1)            D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5E
